budget,company,country,director,genre,gross,name,released,runtime,score,star,votes,year
6000000,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,2/21/1986,97,7.3,Rutger Hauer,36191,1986
10000000,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,3/26/1986,91,6.3,Tom Hanks,41278,1986
3000000,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,8/1/1986,86,5.9,Thom Mathews,28310,1986
25000000,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779,The Mosquito Coast,11/26/1986,117,6.6,Harrison Ford,23076,1986
4000000,Initial Pictures,UK,Alex Cox,Biography,2826523,Sid and Nancy,11/7/1986,112,7.1,Gary Oldman,25032,1986
10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,12/19/1986,105,3.8,Brian Kerwin,4401,1986
4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,10/24/1986,86,6.7,Jeffrey Combs,16636,1986
18000000,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,10/10/1986,103,6.3,Kathleen Turner,28529,1986
19000000,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,5/23/1986,91,5.7,JoBeth Williams,20669,1986
1100000,Empire Pictures,USA,John Carl Buechler,Comedy,5450815,Troll,1/17/1986,82,4.3,Michael Moriarty,7569,1986
111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,9/7/1990,83,7.0,Michael Rooker,25367,1986
18000000,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,6/6/1986,107,5.6,Kate Capshaw,11484,1986
6400000,Orion Pictures,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,3/14/1986,107,8.0,Mia Farrow,56988,1986
14000000,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,7/2/1986,74,7.2,Vincent Price,36539,1986
8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,6/6/1986,106,5.5,Arnold Schwarzenegger,24851,1986
6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,8/8/1986,84,7.3,Orson Welles,33609,1986
5000000,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,8/22/1986,88,6.8,Jason Lively,16077,1986
12000000,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,6/6/1986,100,5.5,Karen Black,5878,1986
6000000,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,2/27/1987,114,7.6,Gene Hackman,36604,1986
6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,4/18/1986,111,7.0,Sean Penn,11607,1986
20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,7/25/1986,108,6.1,Meryl Streep,7570,1986
15000000,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,1/17/1986,98,5.3,Daryl Hannah,5340,1986
12000000,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,2/14/1986,125,5.6,Chuck Norris,15819,1986
18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,3/14/1986,112,6.2,Michael Keaton,9965,1986
175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,8/8/1986,84,6.6,Tracy Camilla Johns,5257,1986
8700000,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912,Band of the Hand,4/11/1986,109,6.3,Stephen Lang,2297,1986
12000000,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,8/15/1986,88,5.6,John Candy,9040,1986
1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,10/30/1986,107,7.8,Tom Waits,39456,1986
10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,2/7/1986,109,6.7,Bryan Brown,14502,1986
18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,6/13/1986,117,6.1,John Lithgow,4666,1986
5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,3/28/1986,89,6.2,Deborah Foreman,11458,1986
25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,11/26/1986,94,4.8,Richard Jordan,3397,1986
10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,10/3/1986,104,6.2,Burt Lancaster,5584,1986
12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,1/31/1986,104,5.9,Robin Williams,5523,1986
2000000,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,3/13/1987,98,5.7,Todd Allen,4744,1986
14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,1/31/1986,103,6.1,Nick Nolte,13569,1986
8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,2/7/1986,136,7.2,Helena Bonham Carter,5364,1986
18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,4/25/1986,115,5.7,Jeff Bridges,3607,1986
8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,11/21/1986,104,5.0,Chuck Norris,4752,1986
3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,7/18/1986,93,5.9,Chris Makepeace,3909,1986
15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,7/11/1986,96,4.9,Robin Williams,5049,1986
13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,4/18/1986,100,5.6,Danny DeVito,4573,1986
